raw_stop_name,normalized_stop_name,canonical_place_id,canonical_name_en,match_score,match_method,needs_manual_review,source_id
Sreepur,sreepur,PLC0353,Sreepur,1.0,exact_normalized,no,SRC_BUS_GITHUB
Staff Road,staff road,PLC0356,Staff Road,1.0,exact_normalized,no,SRC_BUS_GITHUB
Star Kabab,star kabab,,,0.5833,unmatched,yes,SRC_BUS_GITHUB
Station Road,road,,,0.6154,unmatched,yes,SRC_BUS_GITHUB
Sura Bari,sura bari,,,0.7059,unmatched,yes,SRC_BUS_GITHUB
TT Para,tt para,PLC0359,T&T Para,0.9333,fuzzy_high,no,SRC_BUS_GITHUB
Tajmahal Road,tajmahal road,,,0.6957,unmatched,yes,SRC_BUS_GITHUB
Taltola,taltola,,,0.6667,unmatched,yes,SRC_BUS_GITHUB
Tarabo,tarabo,,,0.6667,unmatched,yes,SRC_BUS_GITHUB
Technical,technical,PLC0362,Technical,1.0,exact_normalized,no,SRC_BUS_GITHUB
Technical -,technical,PLC0362,Technical,1.0,exact_normalized,no,SRC_BUS_GITHUB
Tikatuli,tikatuli,PLC0365,Tikatuli,1.0,exact_normalized,no,SRC_BUS_GITHUB
Tolarbag,tolarbag,,,0.625,unmatched,yes,SRC_BUS_GITHUB
Tongi,tongi,PLC0368,Tongi (Bastuhara),1.0,exact_normalized,no,SRC_BUS_GITHUB
Uttar Badda,uttar badda,PLC0376,Uttar Badda,1.0,exact_normalized,no,SRC_BUS_GITHUB
Vashantek,vashantek,,,0.6667,unmatched,yes,SRC_BUS_GITHUB
Victoria Park,victoria park,PLC0380,Victoria Park,1.0,exact_normalized,no,SRC_BUS_GITHUB
Vulta,vulta,,,0.7273,unmatched,yes,SRC_BUS_GITHUB
Wireless,wireless,,,0.4444,unmatched,yes,SRC_BUS_GITHUB
Workshop,workshop,PLC0383,Work Shop,0.9412,fuzzy_high,no,SRC_BUS_GITHUB
Zia Uddyan,zia uddyan,,,0.5714,unmatched,yes,SRC_BUS_GITHUB
Zirabo,zirabo,PLC0385,Zirab,0.9091,fuzzy_high,no,SRC_BUS_GITHUB
Zirani Bazar,zirani bazar,PLC0147,Jirani Bazar,0.9167,fuzzy_high,no,SRC_BUS_GITHUB
kakali,kakali,,,0.8333,unmatched,yes,SRC_BUS_GITHUB
