line_id,from_station_id,from_station_en,to_station_id,to_station_en,single_journey_fare_tk,mrt_rapid_pass_fare_tk,live_usable,source_id
MRT6,MRT6_16,Motijheel,MRT6_06,Mirpur 10,60,54.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_16,Motijheel,MRT6_07,Kazipara,60,54.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_16,Motijheel,MRT6_08,Shewrapara,50,45.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_16,Motijheel,MRT6_09,Agargaon,50,45.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_16,Motijheel,MRT6_10,Bijoy Sarani,40,36.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_16,Motijheel,MRT6_11,Farmgate,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_16,Motijheel,MRT6_12,Karwan Bazar,30,27.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_16,Motijheel,MRT6_13,Shahbag,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_16,Motijheel,MRT6_14,Dhaka University,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_16,Motijheel,MRT6_15,Bangladesh Secretariat,20,18.0,yes,SRC_DMTCL_FARES
MRT6,MRT6_16,Motijheel,MRT6_17,Kamalapur,20,18.0,no,SRC_DMTCL_FARES
MRT6,MRT6_17,Kamalapur,MRT6_01,Uttara North,100,90.0,no,SRC_DMTCL_FARES
MRT6,MRT6_17,Kamalapur,MRT6_02,Uttara Center,100,90.0,no,SRC_DMTCL_FARES
MRT6,MRT6_17,Kamalapur,MRT6_03,Uttara South,90,81.0,no,SRC_DMTCL_FARES
MRT6,MRT6_17,Kamalapur,MRT6_04,Pallabi,80,72.0,no,SRC_DMTCL_FARES
MRT6,MRT6_17,Kamalapur,MRT6_05,Mirpur 11,80,72.0,no,SRC_DMTCL_FARES
MRT6,MRT6_17,Kamalapur,MRT6_06,Mirpur 10,70,63.0,no,SRC_DMTCL_FARES
MRT6,MRT6_17,Kamalapur,MRT6_07,Kazipara,60,54.0,no,SRC_DMTCL_FARES
MRT6,MRT6_17,Kamalapur,MRT6_08,Shewrapara,60,54.0,no,SRC_DMTCL_FARES
MRT6,MRT6_17,Kamalapur,MRT6_09,Agargaon,60,54.0,no,SRC_DMTCL_FARES
MRT6,MRT6_17,Kamalapur,MRT6_10,Bijoy Sarani,50,45.0,no,SRC_DMTCL_FARES
MRT6,MRT6_17,Kamalapur,MRT6_11,Farmgate,40,36.0,no,SRC_DMTCL_FARES
MRT6,MRT6_17,Kamalapur,MRT6_12,Karwan Bazar,40,36.0,no,SRC_DMTCL_FARES
MRT6,MRT6_17,Kamalapur,MRT6_13,Shahbag,30,27.0,no,SRC_DMTCL_FARES
MRT6,MRT6_17,Kamalapur,MRT6_14,Dhaka University,20,18.0,no,SRC_DMTCL_FARES
MRT6,MRT6_17,Kamalapur,MRT6_15,Bangladesh Secretariat,20,18.0,no,SRC_DMTCL_FARES
MRT6,MRT6_17,Kamalapur,MRT6_16,Motijheel,20,18.0,no,SRC_DMTCL_FARES
